sex,sex_orientation,race,edu,coverage,citizen,income_sqrt,cluster,X,Y
<<<<<<< HEAD
Female,Bisexual,White,High school graduate,Covered,US Citizen,220.23396649926642,1,3.4352687905745127,-2.6472591805732346
Male,Bisexual,Hispanic,"Some college, no degree",Covered,US Citizen,200,1,2.8854130764672368,-6.226021945007337
Male,Bisexual,Hispanic,GED or equivalent,Covered,US Citizen,200,2,2.8263251986418094,-5.821856709214039
Female,Bisexual,Hispanic,GED or equivalent,Covered,US Citizen,94.86832980505137,1,2.8607001163949337,-4.898508246049286
Female,Bisexual,White,"Some college, no degree",Covered,US Citizen,282.842712474619,1,5.27590391310625,-2.4763127248193695
Female,Bisexual,White,Doctoral degree,Covered,US Citizen,424.26406871192853,1,6.023139846270894,-1.1815674456040304
Female,Bisexual,White,"Some college, no degree",Covered,US Citizen,173.20508075688772,1,4.740914520567499,-2.7804277325603426
Male,Bisexual,Hispanic,"Some college, no degree",Covered,US Citizen,219.08902300206645,1,2.893967105724498,-6.231734140830953
Female,Bisexual,White,Bachelor's degree,Covered,US Citizen,282.842712474619,3,4.463081662154715,-1.0611945393535092
Female,Bisexual,White,Bachelor's degree,Covered,US Citizen,194.93588689617928,1,4.134916975105263,-1.4217035143160761
Female,Bisexual,White,High school graduate,Covered,US Citizen,182.20867158288598,1,3.4154074243692962,-2.690691750452499
Female,Bisexual,White,Associate degree,Covered,US Citizen,0,1,3.1493114003133855,-1.9111453535833651
Female,Bisexual,White,"Some college, no degree",Covered,US Citizen,158.11388300841898,1,4.749598838730794,-2.8750891150945432
Female,Bisexual,White,Professional school degree,Covered,US Citizen,324.037034920393,1,5.3480722399339955,-1.4322634634093232
Female,Bisexual,White,Bachelor's degree,Covered,US Citizen,275.7988397365007,3,4.364712005524641,-1.0549011759708318
Female,Bisexual,White,Bachelor's degree,Covered,US Citizen,204.93901531919198,1,4.332026208067674,-1.4792664529789914
Female,Bisexual,White,Bachelor's degree,Covered,US Citizen,252.77064703006954,3,4.3076699641206915,-1.1155271673859215
Female,Bisexual,White,"Some college, no degree",Covered,US Citizen,84.8528137423857,1,4.645226489935804,-3.161653156911928
Female,Bisexual,White,Master's degree,Covered,US Citizen,400,1,5.767690925251009,-0.49763034839574216
Female,Bisexual,White,"Some college, no degree",Covered,US Citizen,154.91933384829667,1,4.928176123387739,-3.008051693821557
Female,Bisexual,White,"Some college, no degree",Covered,US Citizen,109.54451150103323,1,4.653168987533664,-3.0723469884252914
Female,Bisexual,White,Master's degree,Covered,US Citizen,220.75099093775322,1,5.294907452882694,-0.8170036360318064
Female,Bisexual,White,"Some college, no degree",Covered,US Citizen,273.8612787525831,1,5.215861167248291,-2.4790288873586515
Male,Bisexual,Hispanic,"Some college, no degree",Covered,US Citizen,134.16407864998737,1,2.870258796086238,-6.235492139999654
Female,Bisexual,White,Bachelor's degree,Covered,US Citizen,189.73665961010275,1,4.126543641364712,-1.4854180094270113
Male,Bisexual,White,High school graduate,Covered,US Citizen,264.5751311064591,4,0.7810057898203404,3.352945026936877
Female,Bisexual,White,"Some college, no degree",Covered,US Citizen,268.32815729997475,1,5.1748698889012985,-2.4927135616388756
Female,Bisexual,White,Bachelor's degree,Covered,US Citizen,77.45966692414834,1,3.899088983971771,-1.6221284323945842
Female,Bisexual,Black/African American,High school graduate,Covered,US Citizen,96.18731725128839,5,2.24501501556353,-3.4031833037444317
Female,Bisexual,Hispanic,High school graduate,Covered,US Citizen,264.5751311064591,1,2.847154620887333,-4.049670630819901
Female,Bisexual,White,GED or equivalent,Not covered,US Citizen,113.55175031676086,6,-0.85609924770203,-1.68083618623401
Male,Bisexual,White,Associate degree,Not covered,US Citizen,105.83005244258362,6,-2.4397268867278066,0.6729160131291908
Female,Bisexual,White,"Some college, no degree",Not covered,US Citizen,223.60679774997897,1,-0.46823027467627576,-2.7490998674803864
Female,Bisexual,Black/African American,Less than a high school diploma,Not covered,US Citizen,0,5,-1.6636548829914486,-3.412480255493454
Female,Bisexual,White,Bachelor's degree,Not covered,Non-US Citizen,223.60679774997897,3,-4.112870317679057,-1.2399832380594042
Female,Bisexual,Hispanic,"Some college, no degree",Not covered,US Citizen,100,5,-0.7313613037994995,-5.119732285414323
Male,Bisexual,White,High school graduate,Not covered,US Citizen,288.09720581775866,6,-1.9874429128178457,2.0287311609354095
Female,Bisexual,White,"Some college, no degree",Not covered,US Citizen,264.5751311064591,1,-0.37542713561290325,-2.727565604665623
Male,Bisexual,White,"Some college, no degree",Not covered,US Citizen,202.48456731316588,7,-3.067422341581056,1.4250014340628314
Female,Bisexual,Black/African American,Associate degree,Not covered,US Citizen,194.93588689617928,5,-2.4177891465648007,-3.506670915782399
Female,Bisexual,White,High school graduate,Not covered,US Citizen,228.0350850198276,8,-1.4983389213036784,-1.6370089936233105
Female,Bisexual,White,Less than a high school diploma,Not covered,US Citizen,109.54451150103323,6,-0.9727714344237218,-1.787148247719634
Female,Bisexual,Black/African American,"Some college, no degree",Not covered,US Citizen,151.65750888103102,5,-1.607299911256529,-4.395581405617028
